instance,baseline,ga_best,ga_worst,kbga_best,kbga_worst,baseline_active_towers,baseline_unserved_demand,baseline_overload,baseline_excessive_distance,baseline_imbalance,ga_active_towers,ga_unserved_demand,ga_overload,ga_excessive_distance,ga_imbalance,kbga_active_towers,kbga_unserved_demand,kbga_overload,kbga_excessive_distance,kbga_imbalance,ga_pop_size,ga_num_generations,ga_mutation_rate,ga_num_parents,ga_mutation_type,ga_crossover_method,kbga_pop_size,kbga_num_generations,kbga_mutation_rate,kbga_num_parents,kbga_mutation_type,kbga_crossover_method
Australia.csv.gz,11.916368,10.239031,10.239031,9.893112,9.893112,809,0,172360,21.6,845.5,329,0,487089,893591.83,1855.72,230,0,575308,1078424.9,3845.34,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
Austria.csv.gz,10.586159,9.658757,9.658757,9.558177,9.558177,440,0,385544,30.62,1077.55,169,0,630325,834786.31,3093.13,137,0,662325,1083835.61,6820.38,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
China.csv.gz,10.128081,10.175964,10.175964,10.53545,10.53545,24054,0,784,6.38,39.39,13715,44,643,418252.25,58.24,13542,1916,969,998031.98,59.02,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
france.csv.gz,12.828782,9.454515,9.454515,13.046658,13.046658,2769,0,25971,28.54,380.18,1614,1820,27529,3188884.57,497.19,1515,13264,49536,5770088.15,539.76,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
germany.csv.gz,15.928646,12.69663,12.69663,12.259148,12.259148,445,0,381784,41.61,835.1,154,140,647314,4157601.29,3927.54,131,1745,668709,4146536.55,5903.44,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
HongKong.csv.gz,10.925018,9.291956,9.291956,9.140474,9.140474,534,0,397471,5.73,1588.37,78,0,720300,181589.58,5361.86,32,0,766300,423337.85,16109.43,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
Singapore.csv.gz,9.960257,11.235584,11.235584,9.431938,9.431938,2030,0,25066,0.0,297.19,635,0,245443,69137.58,624.13,114,0,688205,353591.42,4331.84,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
uk.csv.gz,12.494939,12.089085,12.089085,10.568668,10.568668,2237,0,44767,12.84,339.84,864,1,170994,675487.0,618.73,416,5,444547,1150145.13,1872.61,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
usa_310.csv.gz,10.06515,10.76519,10.76519,11.131794,11.131794,44976,0,439,15.56,17.7,27615,2995,439,3617488.49,26.2,19565,4811,448,4666285.55,37.49,100,30,0.1,33,swap,uniform,100,30,0.1,33,swap,uniform
