radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,505,3,20295,468041790,-1,149.0891,-35.2567,1000,4,1,1729994751,1730607724,0
NR,505,1,31528,1126913089,0,136.4496,-33.9841,3539,3,1,1730823092,1730843162,0
NR,505,3,20208,418398271,0,151.6915,-32.876,1000,1,1,1732910280,1732910280,0
NR,505,3,40439,748110056,-1,153.3879,-27.9555,1000,1,1,1734419243,1734419243,0
NR,505,3,20237,432996413,0,150.3138,-33.7088,1000,2,1,1734534723,1734554642,0
NR,505,3,20295,468189247,-1,149.0743,-35.2511,1000,3,1,1731529662,1734735781,0
NR,505,3,20295,467845182,-1,149.071,-35.2519,1000,6,1,1731538287,1734735782,0
NR,505,3,20295,7216948,-1,149.0697,-35.2529,1000,1,1,1731538357,1731538357,0
NR,505,3,20295,467845183,-1,149.0696,-35.254,1000,3,1,1731538367,1734735782,0
NR,505,3,20295,467026001,-1,149.1324,-35.2778,1000,2,1,1731540468,1734735786,0
NR,505,3,20295,467238993,-1,149.1324,-35.2777,1000,1,1,1731543660,1731543660,0
NR,505,3,20295,466944081,-1,149.1507,-35.2819,1725,8,1,1731544165,1735622584,0
NR,505,3,20295,466944083,-1,149.1321,-35.2781,1000,4,1,1731550544,1734735785,0
NR,505,3,20295,466976830,-1,149.0854,-35.2416,1000,4,1,1731554594,1734735785,0
NR,505,3,20295,468516946,-1,149.1287,-35.2751,1000,3,1,1734647692,1734735785,0
NR,505,3,40439,756596969,-1,153.3879,-27.9555,1000,1,1,1734956900,1734956900,0
NR,505,3,20295,468287569,-1,149.1442,-35.2764,1000,4,1,1735601187,1735622584,0
NR,505,3,20295,467927122,-1,149.1445,-35.2771,1000,2,1,1735601218,1735622584,0
NR,505,3,20295,468762707,-1,149.1643,-35.2863,1000,7,1,1735601357,1735622585,0
NR,505,3,20295,467632209,-1,149.176,-35.2967,1743,11,1,1735601430,1735622702,0
NR,505,3,20295,468762705,-1,149.1763,-35.2975,1000,3,1,1735601467,1735622702,0
NR,505,3,20295,467157075,-1,149.1818,-35.3026,1000,6,1,1735601541,1735622702,0
NR,505,3,20295,467157055,-1,149.1869,-35.3068,1000,13,1,1735601584,1735622702,0
NR,505,3,20295,467157073,-1,149.19,-35.3075,1000,3,1,1735601661,1735622702,0
NR,505,3,20295,468762685,-1,149.1897,-35.3076,1000,2,1,1735601701,1735622702,0
NR,505,1,3186688,239581185,-1,145.261,-37.8906,1000,21,1,1737655565,1748519345,0
NR,505,1,3166720,239684354,-1,145.2432,-37.8715,1000,18,1,1737660273,1743759666,0
NR,505,2,29250,5102506057,-1,115.2614,-33.6643,1000,1,1,1738695223,1738695223,0
