radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,460,0,1049055,43026898945,-1,119.669,32.0149,1000,21,1,1737309543,1737352185,0
NR,460,0,1049055,43026903041,-1,119.6786,32.0069,1000,11,1,1737309563,1737352185,0
NR,460,0,1049055,43026907137,-1,119.6945,31.9952,1000,21,1,1737309573,1737352185,0
NR,460,0,1049055,43027050497,-1,119.7106,31.9857,1000,22,1,1737309603,1737352185,0
NR,460,0,1049055,43027054593,-1,119.7253,31.977,1000,20,1,1737309623,1737352186,0
NR,460,0,1049055,43026997249,-1,119.7433,31.9663,1277,31,1,1737309643,1737352186,0
NR,460,0,1049055,43026993153,-1,119.7617,31.9554,1000,21,1,1737309673,1737352186,0
NR,460,0,1048938,43016642561,-1,119.7799,31.9447,1292,25,1,1737309693,1737352186,0
NR,460,0,1048938,43016679425,-1,119.7912,31.9381,1000,21,1,1737309713,1737352186,0
NR,460,0,1048938,43016626177,-1,119.8058,31.9295,1000,21,1,1737309733,1737352187,0
NR,460,0,1048938,43016622081,-1,119.8171,31.9228,1301,24,1,1737309743,1737352187,0
NR,460,0,1048938,43016663041,-1,119.8388,31.91,1244,31,1,1737309773,1737352187,0
NR,460,0,1048938,43016634369,-1,119.8563,31.8995,1608,41,1,1737309793,1737352187,0
NR,460,0,1048938,43016667137,-1,119.8695,31.8917,1000,21,1,1737309823,1737352187,0
NR,460,0,1048938,43016671233,-1,119.8786,31.8863,1000,11,1,1737309843,1737352188,0
NR,460,0,1048938,43016658945,-1,119.8921,31.8788,1196,28,1,1737309853,1737352188,0
NR,460,0,1048938,43016687617,-1,119.9024,31.8738,1000,18,1,1737309883,1737352188,0
NR,460,0,1048938,43016683521,-1,119.9267,31.865,1998,17,1,1737309923,1737352188,0
NR,460,0,1048938,43016650753,-1,119.9388,31.8611,712,26,1,1737309973,1737352188,0
NR,460,0,1048938,43015671809,-1,119.9503,31.8566,1000,4,1,1737310063,1737352188,0
NR,460,0,1048929,43116380163,-1,119.9521,31.8557,1000,1,1,1737310273,1737310273,0
NR,460,0,1048938,43016601601,-1,119.9673,31.8505,1541,17,1,1737310303,1737352189,0
NR,460,0,1048935,43116421125,-1,119.9827,31.8441,731,27,1,1737310353,1737352189,0
NR,460,0,1048938,43016691713,-1,119.9923,31.8409,1000,12,1,1737310383,1737352189,0
NR,460,0,1048938,43016654849,-1,120.01,31.8342,1581,27,1,1737310393,1737352189,0
NR,460,0,1048941,43116019718,-1,120.026,31.8285,1000,21,1,1737310433,1737352189,0
NR,460,0,1048938,43016638465,-1,120.0463,31.821,1016,21,1,1737310453,1737352190,0
NR,460,0,1048938,43015290881,-1,120.0671,31.8146,1192,25,1,1737310483,1737352190,0
NR,460,0,1048938,43016699905,-1,120.0951,31.8076,1000,22,1,1737310513,1737352190,0
NR,460,11,13648657,55906332930,-1,120.1032,31.8059,4615,13,1,1737310533,1742472733,0
NR,460,11,13648657,55906746625,-1,120.1117,31.8045,3799,11,1,1737310543,1742472733,0
NR,460,0,1048938,43016605697,-1,120.1122,31.8047,1000,20,1,1737310543,1737352191,0
NR,460,11,13648657,55907303683,-1,120.119,31.8035,3101,12,1,1737310553,1742472733,0
NR,460,0,1048938,43016695809,-1,120.1246,31.8031,1286,28,1,1737310553,1737352191,0
